"Sample","AvgDistance","Type"
"TCGA-56-A4BX-01A-11R-A24H-07",0.060436934946798,"TP"
"TCGA-85-7710-11A-01R-2125-07",0.0602511335564119,"NT"
"TCGA-46-3769-01A-01R-0980-07",0.0600953961460281,"TP"
"TCGA-18-3410-01A-01R-0980-07",0.0600126406784729,"TP"
"TCGA-77-7140-01A-41R-2045-07",0.0599193977107783,"TP"
"TCGA-33-4566-01A-01R-1443-07",0.0596698724545664,"TP"
"TCGA-85-8479-01A-11R-2326-07",0.0594948249894608,"TP"
"TCGA-34-8454-11A-01R-2326-07",0.0594557792427174,"NT"
"TCGA-43-7657-11A-01R-2125-07",0.0592825004295098,"NT"
"TCGA-NK-A5CT-01A-31R-A26W-07",0.0591975402344861,"TP"
"TCGA-22-5481-11A-01R-1949-07",0.059120189081275,"NT"
"TCGA-MF-A522-01A-11R-A262-07",0.0590696412871586,"TP"
"TCGA-43-5668-01A-01R-1635-07",0.0590237165145539,"TP"
"TCGA-NC-A5HN-01A-11R-A26W-07",0.0589439008882985,"TP"
"TCGA-77-8143-01A-11R-2247-07",0.05889215929256,"TP"
"TCGA-22-5489-11A-01R-1635-07",0.0588483132354721,"NT"
"TCGA-60-2714-01A-01R-0851-07",0.0585520779610843,"TP"
"TCGA-58-A46M-01A-11R-A24H-07",0.058538267476728,"TP"
"TCGA-70-6723-01A-11R-1820-07",0.0584712750387536,"TP"
"TCGA-56-7582-11A-01R-2045-07",0.0584493516601396,"NT"
"TCGA-85-8664-01A-11R-2403-07",0.0583100356880054,"TP"
"TCGA-43-6143-11A-01R-1820-07",0.0582859178118492,"NT"
"TCGA-58-8386-11A-01R-2296-07",0.0582487624819342,"NT"
"TCGA-O2-A52Q-01A-11R-A26W-07",0.0582026332269639,"TP"
"TCGA-22-4593-11A-01R-1820-07",0.0581810177829877,"NT"
"TCGA-22-5483-11A-11R-1820-07",0.0581100338530321,"NT"
"TCGA-56-7823-11A-01R-2247-07",0.0580466281783288,"NT"
"TCGA-43-6771-01A-11R-1820-07",0.0580225070657533,"TP"
"TCGA-51-4080-11A-01R-1758-07",0.0579865951952877,"NT"
"TCGA-22-4594-01A-01R-1201-07",0.0576846895585644,"TP"
"TCGA-66-2793-01A-01R-1201-07",0.0576305591308601,"TP"
"TCGA-77-8009-01A-11R-2187-07",0.0575599056972449,"TP"
"TCGA-85-8071-01A-11R-2247-07",0.0575439221839132,"TP"
"TCGA-33-4582-01A-01R-1443-07",0.0575338160241134,"TP"
"TCGA-85-A513-01A-12R-A26W-07",0.0573888623725504,"TP"
"TCGA-33-AASL-01A-11R-A405-07",0.0573504736435485,"TP"
"TCGA-51-4081-11A-01R-1758-07",0.0573475749842567,"NT"
"TCGA-18-3406-01A-01R-0980-07",0.0572018060035668,"TP"
"TCGA-63-A5MU-01A-11R-A26W-07",0.0572002577954718,"TP"
"TCGA-22-5472-11A-11R-1635-07",0.0570102484266548,"NT"
"TCGA-18-3408-01A-01R-0980-07",0.0569791707086344,"TP"
"TCGA-56-7221-01A-11R-2045-07",0.056807175079173,"TP"
"TCGA-43-2581-01A-01R-0851-07",0.0566909359216826,"TP"
"TCGA-39-5011-01A-01R-1443-07",0.0565728763527919,"TP"
"TCGA-34-7107-11A-01R-1949-07",0.0565210477079111,"NT"
"TCGA-37-4133-01A-01R-1100-07",0.0564273224231641,"TP"
"TCGA-85-A4QQ-01A-41R-A262-07",0.0563670881267302,"TP"
"TCGA-37-3783-01A-01R-1201-07",0.0562972257788374,"TP"
"TCGA-21-1075-01A-01R-0692-07",0.0562384673890742,"TP"
"TCGA-34-5234-01A-01R-1635-07",0.0562135659677438,"TP"
"TCGA-77-8144-01A-11R-2247-07",0.0562047375816549,"TP"
"TCGA-18-3416-01A-01R-0980-07",0.0561525139321285,"TP"
"TCGA-43-A474-01A-11R-A24H-07",0.0560824661433843,"TP"
"TCGA-60-2726-01A-01R-0851-07",0.0560472842057117,"TP"
"TCGA-NK-A7XE-01A-12R-A405-07",0.0560258483853933,"TP"
"TCGA-34-5927-01A-11R-1820-07",0.0559812227619119,"TP"
"TCGA-63-A5MH-01A-12R-A27Q-07",0.0559597166778269,"TP"
"TCGA-33-AASJ-01A-11R-A405-07",0.0559467038557347,"TP"
"TCGA-NC-A5HR-01A-21R-A26W-07",0.0559421175393742,"TP"
"TCGA-60-2724-01A-01R-0851-07",0.0559206766625388,"TP"
"TCGA-60-2706-01A-01R-0851-07",0.0558877904058963,"TP"
"TCGA-56-7823-01B-11R-2247-07",0.055871238946572,"TP"
"TCGA-58-A46N-01A-11R-A24H-07",0.0558147161335266,"TP"
"TCGA-33-4583-01A-01R-1443-07",0.055738307656648,"TP"
"TCGA-NC-A5HI-01A-11R-A26W-07",0.0557228875865059,"TP"
"TCGA-37-3792-01A-01R-0980-07",0.0556855057629672,"TP"
"TCGA-60-2716-01A-01R-0851-07",0.0556701290070708,"TP"
"TCGA-66-2778-01A-02R-0851-07",0.0556256747934567,"TP"
"TCGA-43-6143-01A-11R-1820-07",0.0555693347901376,"TP"
"TCGA-NC-A5HF-01A-11R-A26W-07",0.0554930674693199,"TP"
"TCGA-77-8008-11A-01R-2187-07",0.0554591970720616,"NT"
"TCGA-77-6842-01A-11R-1949-07",0.0553268429774973,"TP"
"TCGA-43-5670-01A-21R-2125-07",0.0552574399095691,"TP"
"TCGA-NC-A5HD-01A-11R-A26W-07",0.0551822889522284,"TP"
"TCGA-51-4080-01A-01R-1100-07",0.0550562958979628,"TP"
"TCGA-43-3920-01A-01R-0980-07",0.0550512147670062,"TP"
"TCGA-21-1079-01A-01R-0692-07",0.0549722781382621,"TP"
"TCGA-18-3419-01A-01R-0980-07",0.0548136693258396,"TP"
"TCGA-22-1017-01A-01R-0692-07",0.0547765052948883,"TP"
"TCGA-66-2785-01A-01R-0851-07",0.0547301311828363,"TP"
"TCGA-52-7810-01A-11R-2125-07",0.0547272367156332,"TP"
"TCGA-77-8007-11A-01R-2187-07",0.0547014157040397,"NT"
"TCGA-96-A4JL-01A-11R-A24Z-07",0.054492890571425,"TP"
"TCGA-98-A53J-01A-11R-A26W-07",0.0544693581880165,"TP"
"TCGA-34-2600-01A-01R-0851-07",0.0544349579959599,"TP"
"TCGA-77-A5GH-01A-11R-A27Q-07",0.0543610908203936,"TP"
"TCGA-90-7767-01A-11R-2125-07",0.0543570191994171,"TP"
"TCGA-43-2576-01A-01R-A32Z-07",0.0543349581005721,"TP"
"TCGA-33-6738-01A-11R-1949-07",0.0543228090029226,"TP"
"TCGA-85-A5B5-01A-21R-A26W-07",0.0541633520752067,"TP"
"TCGA-21-1083-01A-01R-0692-07",0.0541492223582618,"TP"
"TCGA-O2-A52S-01A-11R-A262-07",0.0540732601039817,"TP"
"TCGA-56-7579-01A-11R-2045-07",0.0540701544592164,"TP"
"TCGA-94-7033-01A-11R-1949-07",0.0540195654926368,"TP"
"TCGA-94-8490-01A-11R-2326-07",0.0538851028964338,"TP"
"TCGA-85-A512-01A-11R-A26W-07",0.0538542765810428,"TP"
"TCGA-L3-A524-01A-11R-A262-07",0.0537661000246274,"TP"
"TCGA-NC-A5HO-01A-11R-A26W-07",0.0536625586773998,"TP"
"TCGA-98-A53D-01A-32R-A262-07",0.0536331855612574,"TP"
"TCGA-18-3421-01A-01R-0980-07",0.0536183857039007,"TP"
"TCGA-22-1005-01A-01R-0692-07",0.0535545417282139,"TP"
"TCGA-O2-A52W-01A-11R-A26W-07",0.0534840984473845,"TP"
"TCGA-56-7730-01A-11R-2125-07",0.0534792989635549,"TP"
"TCGA-NC-A5HL-01A-11R-A26W-07",0.0533661064926826,"TP"
"TCGA-98-A53C-01A-11R-A262-07",0.0533165580177416,"TP"
"TCGA-22-A5C4-01A-12R-A27Q-07",0.0533023980502277,"TP"
"TCGA-O2-A52N-01A-11R-A26W-07",0.053233522733398,"TP"
"TCGA-85-8584-01A-11R-2403-07",0.0531032025856349,"TP"
"TCGA-43-7657-01A-31R-2125-07",0.0530742003927832,"TP"
"TCGA-43-A56U-01A-11R-A26W-07",0.0530619624030468,"TP"
"TCGA-77-A5FZ-01A-31R-A27Q-07",0.0529536738906237,"TP"
