"Sample","LibrarySize","Type"
"TCGA-XC-AA0X-01A-32R-A405-07",42266757,"TP"
"TCGA-85-A512-01A-11R-A26W-07",42183831,"TP"
"TCGA-NC-A5HH-01A-11R-A26W-07",42162670,"TP"
"TCGA-56-A49D-01A-11R-A24H-07",42090782,"TP"
"TCGA-85-8276-01A-11R-2296-07",42090324,"TP"
"TCGA-85-8664-01A-11R-2403-07",42072278,"TP"
"TCGA-56-8201-01A-11R-2247-07",41986185,"TP"
"TCGA-98-A53A-01A-11R-A262-07",41792594,"TP"
"TCGA-34-A5IX-01A-12R-A27Q-07",41738792,"TP"
"TCGA-90-A4ED-01A-31R-A24Z-07",41497268,"TP"
"TCGA-43-A56U-01A-11R-A26W-07",41473646,"TP"
"TCGA-63-A5MI-01A-12R-A27Q-07",41430326,"TP"
"TCGA-NC-A5HJ-01A-11R-A26W-07",41405932,"TP"
"TCGA-66-2771-01A-01R-0980-07",41343129,"TP"
"TCGA-85-A513-01A-12R-A26W-07",41252452,"TP"
"TCGA-58-8386-11A-01R-2296-07",41149737,"NT"
"TCGA-90-A59Q-01A-11R-A26W-07",41044124,"TP"
"TCGA-22-1012-01A-01R-0692-07",41024216,"TP"
"TCGA-39-5021-01A-01R-1443-07",40999209,"TP"
"TCGA-94-8491-01A-11R-2326-07",40896412,"TP"
"TCGA-56-8305-01A-11R-2296-07",40893807,"TP"
"TCGA-77-A5G6-01A-11R-A27Q-07",40798069,"TP"
"TCGA-18-3419-01A-01R-0980-07",40743085,"TP"
"TCGA-18-3406-01A-01R-0980-07",40610270,"TP"
"TCGA-33-AASL-01A-11R-A405-07",40603169,"TP"
"TCGA-22-1005-01A-01R-0692-07",40500073,"TP"
"TCGA-77-7335-11A-01R-2045-07",40444653,"NT"
"TCGA-56-8625-01A-11R-2403-07",40126872,"TP"
"TCGA-56-8624-01A-11R-2403-07",40116654,"TP"
"TCGA-66-2795-01A-02R-0980-07",39974197,"TP"
"TCGA-18-3416-01A-01R-0980-07",39966940,"TP"
"TCGA-85-8481-01A-11R-2326-07",39920132,"TP"
"TCGA-77-A5FZ-01A-31R-A27Q-07",39918417,"TP"
"TCGA-18-3415-01A-01R-0980-07",39711649,"TP"
"TCGA-56-8308-01A-11R-2296-07",39679900,"TP"
"TCGA-46-3766-01A-01R-0980-07",39579402,"TP"
"TCGA-39-5030-01A-01R-1443-07",39567331,"TP"
"TCGA-63-A5MH-01A-12R-A27Q-07",39552988,"TP"
"TCGA-39-5034-01A-01R-1443-07",39517668,"TP"
"TCGA-63-A5MU-01A-11R-A26W-07",39354526,"TP"
"TCGA-56-A4BW-01A-11R-A24H-07",39291742,"TP"
"TCGA-58-8388-01A-11R-2326-07",39236740,"TP"
"TCGA-85-8666-01A-11R-2403-07",39210650,"TP"
"TCGA-98-8021-01A-11R-2247-07",39115998,"TP"
"TCGA-85-A4PA-01A-11R-A24Z-07",38727597,"TP"
"TCGA-NC-A5HR-01A-21R-A26W-07",38484446,"TP"
"TCGA-77-8153-01A-11R-2403-07",38444628,"TP"
"TCGA-NC-A5HM-01A-12R-A26W-07",38392811,"TP"
"TCGA-43-8115-01A-11R-2247-07",38088996,"TP"
"TCGA-66-2793-01A-01R-1201-07",38070168,"TP"
"TCGA-63-A5ML-01A-31R-A27Q-07",37900553,"TP"
"TCGA-56-8628-01A-11R-2403-07",37802673,"TP"
"TCGA-98-A53J-01A-11R-A26W-07",37783013,"TP"
"TCGA-85-8048-01A-11R-2247-07",37779285,"TP"
"TCGA-56-8309-11A-01R-2296-07",37772193,"NT"
"TCGA-94-A5I4-01A-11R-A26W-07",37706859,"TP"
"TCGA-56-8083-01A-11R-2247-07",37604182,"TP"
"TCGA-85-A4JC-01A-11R-A24Z-07",37571411,"TP"
"TCGA-77-7335-01A-11R-2045-07",37310245,"TP"
"TCGA-18-3408-01A-01R-0980-07",37251748,"TP"
"TCGA-77-8138-01A-11R-2247-07",37183520,"TP"
"TCGA-NK-A7XE-01A-12R-A405-07",37153679,"TP"
"TCGA-85-A4CN-01A-11R-A24H-07",37020861,"TP"
"TCGA-77-8133-01A-12R-2247-07",36988357,"TP"
"TCGA-85-8584-01A-11R-2403-07",36780960,"TP"
"TCGA-56-8626-01A-11R-2403-07",36656877,"TP"
"TCGA-39-5039-01A-01R-1443-07",36492279,"TP"
"TCGA-63-7020-01A-11R-1949-07",36387951,"TP"
"TCGA-43-8116-01A-11R-2247-07",36354602,"TP"
"TCGA-77-8148-01A-11R-2247-07",36350432,"TP"
"TCGA-98-8020-01A-11R-2247-07",35934244,"TP"
"TCGA-85-8582-01A-21R-2403-07",35866003,"TP"
"TCGA-34-8456-01A-21R-2326-07",35792022,"TP"
"TCGA-56-8503-01A-11R-2403-07",35669781,"TP"
"TCGA-NC-A5HD-01A-11R-A26W-07",35518530,"TP"
"TCGA-NC-A5HP-01A-11R-A26W-07",35362952,"TP"
"TCGA-85-8580-01A-31R-2403-07",35290677,"TP"
"TCGA-85-A510-01A-11R-A26W-07",34707575,"TP"
"TCGA-98-8023-01A-11R-2247-07",34510355,"TP"
"TCGA-77-A5G7-01B-11R-A27Q-07",34306140,"TP"
"TCGA-77-8136-01A-11R-2247-07",33947981,"TP"
"TCGA-58-8387-01A-11R-2296-07",33919438,"TP"
"TCGA-NK-A5D1-01A-11R-A26W-07",33532394,"TP"
"TCGA-56-7823-01B-11R-2247-07",33260618,"TP"
"TCGA-77-A5G8-01B-11R-A27Q-07",33080695,"TP"
"TCGA-77-8131-01A-11R-2247-07",33019282,"TP"
"TCGA-43-6773-11A-01R-1949-07",32954196,"NT"
"TCGA-77-8139-01A-11R-2247-07",32855006,"TP"
"TCGA-77-8154-01A-11R-2247-07",32811416,"TP"
"TCGA-56-8504-01A-11R-2403-07",32580139,"TP"
"TCGA-98-8022-01A-11R-2247-07",32062501,"TP"
"TCGA-92-8064-01A-11R-2247-07",31737351,"TP"
"TCGA-92-8063-01A-11R-2247-07",31631510,"TP"
"TCGA-85-8070-01A-11R-2247-07",31432290,"TP"
"TCGA-77-8156-01A-11R-2247-07",31341129,"TP"
"TCGA-21-A5DI-01A-31R-A26W-07",31011329,"TP"
"TCGA-85-8072-01A-31R-2247-07",30611785,"TP"
"TCGA-60-2703-01A-11R-2045-07",30546548,"TP"
"TCGA-NK-A5CR-01A-11R-A26W-07",29861507,"TP"
"TCGA-58-A46K-01A-11R-A24H-07",29672425,"TP"
"TCGA-77-A5GA-01A-11R-A27Q-07",29420055,"TP"
"TCGA-85-8052-01A-11R-2247-07",28931763,"TP"
"TCGA-77-8140-01A-11R-2247-07",28266740,"TP"
"TCGA-37-A5EN-01A-21R-A26W-07",28069104,"TP"
"TCGA-85-8071-01A-11R-2247-07",26772545,"TP"
"TCGA-77-8145-01A-11R-2247-07",26571638,"TP"
"TCGA-NC-A5HO-01A-11R-A26W-07",26456647,"TP"
"TCGA-22-4601-01A-01R-1443-07",26137691,"TP"
"TCGA-21-5782-01A-01R-1635-07",25398636,"TP"
"TCGA-22-4613-01A-01R-1443-07",23992292,"TP"
"TCGA-J1-A4AH-01A-31R-A24H-07",23798281,"TP"
"TCGA-33-4583-01A-01R-1443-07",23313751,"TP"
"TCGA-63-A5MT-01A-21R-A26W-07",23309349,"TP"
"TCGA-18-3417-01A-01R-1443-07",22743141,"TP"
"TCGA-77-8146-01A-11R-2247-07",22371351,"TP"
"TCGA-18-4721-01A-01R-1443-07",21733688,"TP"
"TCGA-77-A5GF-01A-21R-A27Q-07",21070784,"TP"
"TCGA-33-4566-01A-01R-1443-07",20622721,"TP"
"TCGA-22-4599-01A-01R-1443-07",19877214,"TP"
"TCGA-77-A5GH-01A-11R-A27Q-07",18223549,"TP"
"TCGA-77-A5GB-01B-11R-A27Q-07",16897908,"TP"
"TCGA-77-8150-01A-11R-2247-07",15703231,"TP"
"TCGA-63-A5MS-01A-11R-A26W-07",14298112,"TP"
