"Sample","LibrarySize","Type"
"TCGA-43-7657-11A-01R-2125-07",66838828,"NT"
"TCGA-22-4609-11A-01R-2125-07",66740823,"NT"
"TCGA-92-7341-01A-31R-2045-07",66444465,"TP"
"TCGA-66-2765-01A-01R-0851-07",66417970,"TP"
"TCGA-60-2710-01A-01R-0851-07",66319059,"TP"
"TCGA-77-8007-11A-01R-2187-07",66224945,"NT"
"TCGA-33-6737-11A-01R-1820-07",65738098,"NT"
"TCGA-51-6867-01A-11R-2045-07",65715581,"TP"
"TCGA-77-8008-11A-01R-2187-07",65637355,"NT"
"TCGA-85-7844-01A-11R-2125-07",65604824,"TP"
"TCGA-34-2608-01A-02R-0851-07",65486679,"TP"
"TCGA-43-7657-01A-31R-2125-07",65325806,"TP"
"TCGA-22-4595-01A-01R-1201-07",65323729,"TP"
"TCGA-79-5596-01A-31R-1949-07",65291076,"TP"
"TCGA-22-4609-01A-21R-2125-07",65195191,"TP"
"TCGA-34-7107-01A-11R-1949-07",65124968,"TP"
"TCGA-77-7138-01A-41R-2045-07",64994648,"TP"
"TCGA-77-7337-01A-21R-2045-07",64786417,"TP"
"TCGA-90-7766-01A-21R-2125-07",64740439,"TP"
"TCGA-66-2770-01A-01R-0851-07",64734999,"TP"
"TCGA-98-7454-01A-11R-2045-07",64728668,"TP"
"TCGA-34-5234-01A-01R-1635-07",64544765,"TP"
"TCGA-66-2781-01A-01R-0851-07",64378899,"TP"
"TCGA-94-7557-01A-11R-2125-07",64375235,"TP"
"TCGA-77-6845-01A-11R-1949-07",64311506,"TP"
"TCGA-33-4532-01A-01R-1201-07",64246010,"TP"
"TCGA-66-2780-01A-01R-0851-07",64218826,"TP"
"TCGA-52-7811-01A-11R-2125-07",64098533,"TP"
"TCGA-77-6844-01A-11R-1949-07",64078556,"TP"
"TCGA-96-7545-01A-21R-2045-07",64004359,"TP"
"TCGA-66-2753-01A-01R-0980-07",63914172,"TP"
"TCGA-92-7340-01A-21R-2045-07",63838362,"TP"
"TCGA-60-2714-01A-01R-0851-07",63646926,"TP"
"TCGA-94-7943-01A-11R-2187-07",63611701,"TP"
"TCGA-22-1016-01A-01R-A96U-41",63565113,"TP"
"TCGA-56-7582-11A-01R-2045-07",63390559,"NT"
"TCGA-63-6202-01A-11R-1820-07",63260487,"TP"
"TCGA-21-1083-01A-01R-0692-07",63247012,"TP"
"TCGA-90-6837-01A-11R-1949-07",63032575,"TP"
"TCGA-90-7767-01A-11R-2125-07",62931001,"TP"
"TCGA-66-2727-01A-01R-0980-07",62909317,"TP"
"TCGA-33-4586-01A-01R-1443-07",62905328,"TP"
"TCGA-60-2711-01A-01R-0851-07",62886522,"TP"
"TCGA-77-7138-11A-01R-2045-07",62885653,"NT"
"TCGA-37-5819-01A-01R-1635-07",62872632,"TP"
"TCGA-60-2697-01A-11R-2125-07",62870453,"TP"
"TCGA-60-2707-01A-01R-0851-07",62842903,"TP"
"TCGA-22-5483-11A-11R-1820-07",62823017,"NT"
"TCGA-60-2709-01A-21R-1820-07",62781283,"TP"
